account_id,region_code,weighted_pipeline_usd,avg_commit_probability,high_risk_flags,account_name,segment,product_family,contract_value_usd,renewal_date,active_users,support_tickets,satisfaction_score,risk_score,recommended_action
ACC-1114,NA,210646.06,0.35350000000000004,2,NA-Portfolio-115,enterprise,core-monitoring,387039.0,2026-06-27,628.0,9.0,72.92,62.6,Escalate commercial review and tighten close plan
ACC-1168,NA,212350.72,0.42375000000000007,2,NA-Portfolio-169,enterprise,core-monitoring,286061.0,2026-09-18,499.0,21.0,85.84,62.1,Escalate commercial review and tighten close plan
ACC-1043,EU,50910.85,0.44799999999999995,3,EU-Portfolio-044,mid-market,automation-suite,131624.0,2027-02-02,213.0,3.0,92.76,61.8,Run renewal recovery plan and inspect stage slippage
ACC-1213,LA,264676.35,0.45375,2,LA-Portfolio-214,enterprise,core-monitoring,650465.0,2026-05-17,501.0,23.0,88.25,61.2,Run renewal recovery plan and inspect stage slippage
ACC-1078,NA,193341.51,0.65925,3,NA-Portfolio-079,enterprise,core-monitoring,413288.0,2026-11-30,726.0,17.0,90.55,61.2,Run renewal recovery plan and inspect stage slippage
ACC-1116,AP,51361.369999999995,0.4663333333333333,3,AP-Portfolio-117,commercial,security-analytics,88943.0,2026-04-21,47.0,0.0,87.16,61.2,Run renewal recovery plan and inspect stage slippage
ACC-1102,NA,256498.63,0.552,2,NA-Portfolio-103,enterprise,core-monitoring,398702.0,2026-07-31,711.0,31.0,90.14,60.8,Run renewal recovery plan and inspect stage slippage
ACC-1135,LA,137573.49,0.34425,2,LA-Portfolio-136,enterprise,core-monitoring,280902.0,2026-07-08,531.0,9.0,80.72,60.6,Run renewal recovery plan and inspect stage slippage
ACC-1108,NA,230782.38,0.52225,3,NA-Portfolio-109,enterprise,core-monitoring,326449.0,2026-09-26,424.0,7.0,93.88,60.5,Run renewal recovery plan and inspect stage slippage
ACC-1060,NA,208283.40000000002,0.41375,2,NA-Portfolio-061,enterprise,core-monitoring,295751.0,2026-06-21,464.0,15.0,82.3,60.5,Run renewal recovery plan and inspect stage slippage
ACC-1010,ME,58447.26,0.37033333333333335,2,ME-Portfolio-011,mid-market,automation-suite,152415.0,2026-06-03,188.0,7.0,75.18,60.2,Run renewal recovery plan and inspect stage slippage
ACC-1175,EU,62809.67,0.3673333333333333,2,EU-Portfolio-176,mid-market,automation-suite,237859.0,2027-05-24,144.0,5.0,72.84,60.0,Run renewal recovery plan and inspect stage slippage
ACC-1129,LA,178244.34,0.55275,2,LA-Portfolio-130,enterprise,core-monitoring,313828.0,2026-11-27,682.0,18.0,71.37,59.7,Run renewal recovery plan and inspect stage slippage
ACC-1216,NA,110092.06999999999,0.45575,2,NA-Portfolio-217,enterprise,core-monitoring,213671.0,2026-07-20,585.0,17.0,83.57,59.4,Run renewal recovery plan and inspect stage slippage
ACC-1153,LA,504241.76,0.4445,2,LA-Portfolio-154,enterprise,core-monitoring,689061.0,2027-04-22,450.0,9.0,72.29,59.2,Run renewal recovery plan and inspect stage slippage
ACC-1093,LA,572968.3,0.46349999999999997,2,LA-Portfolio-094,enterprise,core-monitoring,658572.0,2027-03-13,424.0,20.0,88.95,59.1,Run renewal recovery plan and inspect stage slippage
ACC-1220,ME,67611.68,0.4093333333333333,2,ME-Portfolio-221,mid-market,automation-suite,167663.0,2027-04-22,157.0,7.0,73.66,59.1,Run renewal recovery plan and inspect stage slippage
ACC-1033,LA,335847.01,0.485,2,LA-Portfolio-034,enterprise,core-monitoring,445355.0,2026-07-14,544.0,12.0,72.68,59.0,Run renewal recovery plan and inspect stage slippage
ACC-1046,ME,52165.21,0.33866666666666667,2,ME-Portfolio-047,mid-market,automation-suite,107188.0,2026-11-12,205.0,9.0,87.0,59.0,Run renewal recovery plan and inspect stage slippage
ACC-1147,LA,169460.34,0.492,2,LA-Portfolio-148,enterprise,core-monitoring,330772.0,2026-06-25,726.0,18.0,83.28,58.6,Run renewal recovery plan and inspect stage slippage
ACC-1224,AP,18767.02,0.3506666666666667,2,AP-Portfolio-225,commercial,security-analytics,55109.0,2026-05-06,70.0,1.0,72.89,58.6,Run renewal recovery plan and inspect stage slippage
ACC-1126,NA,523364.48000000004,0.40275,1,NA-Portfolio-127,enterprise,core-monitoring,711487.0,2026-07-17,578.0,26.0,69.31,58.5,Run renewal recovery plan and inspect stage slippage
ACC-1219,LA,155089.09,0.42325,2,LA-Portfolio-220,enterprise,core-monitoring,342282.0,2027-01-23,569.0,8.0,75.63,58.5,Run renewal recovery plan and inspect stage slippage
ACC-1075,LA,193889.85,0.453,2,LA-Portfolio-076,enterprise,core-monitoring,287385.0,2026-06-28,508.0,10.0,75.63,58.3,Run renewal recovery plan and inspect stage slippage
ACC-1151,EU,22217.9,0.3673333333333333,2,EU-Portfolio-152,mid-market,automation-suite,110284.0,2026-04-26,191.0,3.0,75.18,58.3,Run renewal recovery plan and inspect stage slippage
ACC-1103,EU,65398.85,0.4206666666666667,2,EU-Portfolio-104,mid-market,automation-suite,151836.0,2027-04-16,174.0,6.0,74.77,57.8,Run renewal recovery plan and inspect stage slippage
ACC-1037,EU,98662.13,0.39399999999999996,2,EU-Portfolio-038,mid-market,automation-suite,213077.0,2026-11-24,213.0,8.0,82.62,57.6,Run renewal recovery plan and inspect stage slippage
ACC-1084,NA,147774.83000000002,0.5065000000000001,2,NA-Portfolio-085,enterprise,core-monitoring,349636.0,2026-11-15,408.0,10.0,72.09,57.3,Run renewal recovery plan and inspect stage slippage
ACC-1032,AP,25413.7,0.3463333333333334,2,AP-Portfolio-033,commercial,security-analytics,61568.0,2026-08-21,80.0,2.0,79.73,57.3,Run renewal recovery plan and inspect stage slippage
ACC-1097,EU,72790.2,0.3383333333333334,2,EU-Portfolio-098,mid-market,automation-suite,224160.0,2027-01-09,151.0,1.0,80.16,56.9,Run renewal recovery plan and inspect stage slippage
ACC-1064,ME,25797.12,0.3446666666666666,2,ME-Portfolio-065,mid-market,automation-suite,81188.0,2026-05-31,211.0,6.0,89.72,56.4,Run renewal recovery plan and inspect stage slippage
ACC-1058,ME,45036.08,0.6566666666666666,3,ME-Portfolio-059,mid-market,automation-suite,93353.0,2026-08-10,244.0,5.0,89.48,55.5,Run renewal recovery plan and inspect stage slippage
ACC-1052,ME,92777.98,0.461,2,ME-Portfolio-053,mid-market,automation-suite,168918.0,2026-04-30,228.0,7.0,79.97,55.2,Run renewal recovery plan and inspect stage slippage
ACC-1139,EU,61148.8,0.34600000000000003,2,EU-Portfolio-140,mid-market,automation-suite,191690.0,2027-05-24,162.0,7.0,95.05,55.2,Run renewal recovery plan and inspect stage slippage
ACC-1115,EU,35666.520000000004,0.3506666666666667,2,EU-Portfolio-116,mid-market,automation-suite,126974.0,2026-05-22,144.0,5.0,91.21,55.2,Run renewal recovery plan and inspect stage slippage
ACC-1101,AF,9523.91,0.4116666666666666,2,AF-Portfolio-102,commercial,security-analytics,26162.0,2027-05-10,78.0,3.0,79.85,55.1,Run renewal recovery plan and inspect stage slippage
ACC-1181,EU,75948.86,0.31666666666666665,2,EU-Portfolio-182,mid-market,automation-suite,180419.0,2026-08-01,148.0,3.0,94.26,54.6,Run renewal recovery plan and inspect stage slippage
ACC-1155,AF,17741.01,0.45166666666666666,2,AF-Portfolio-156,commercial,security-analytics,36611.0,2026-06-19,79.0,2.0,74.61,54.6,Run renewal recovery plan and inspect stage slippage
ACC-1018,NA,426349.54000000004,0.57525,2,NA-Portfolio-019,enterprise,core-monitoring,499592.0,2026-08-10,704.0,14.0,79.33,54.4,Run renewal recovery plan and inspect stage slippage
ACC-1007,EU,47556.84,0.4266666666666667,2,EU-Portfolio-008,mid-market,automation-suite,79256.0,2026-10-26,183.0,4.0,82.22,54.3,Run renewal recovery plan and inspect stage slippage
ACC-1148,ME,49343.22,0.5173333333333333,2,ME-Portfolio-149,mid-market,automation-suite,207016.0,2027-02-20,237.0,5.0,72.51,54.1,Run renewal recovery plan and inspect stage slippage
ACC-1187,EU,44602.94,0.48066666666666674,2,EU-Portfolio-188,mid-market,automation-suite,116339.0,2026-07-28,217.0,3.0,75.03,53.8,Run renewal recovery plan and inspect stage slippage
ACC-1236,AP,21770.49,0.39999999999999997,2,AP-Portfolio-237,commercial,security-analytics,50064.0,2027-01-15,88.0,3.0,86.64,53.6,Run renewal recovery plan and inspect stage slippage
ACC-1191,AF,23376.440000000002,0.458,2,AF-Portfolio-192,commercial,security-analytics,51956.0,2027-04-14,77.0,1.0,76.11,53.4,Run renewal recovery plan and inspect stage slippage
ACC-1234,NA,98822.73000000001,0.43225,2,NA-Portfolio-235,enterprise,core-monitoring,217811.0,2026-10-29,392.0,7.0,91.67,52.8,Run renewal recovery plan and inspect stage slippage
ACC-1230,AP,30429.72,0.472,2,AP-Portfolio-231,commercial,security-analytics,82309.0,2026-07-29,67.0,2.0,78.91,52.5,Run renewal recovery plan and inspect stage slippage
ACC-1077,AF,24491.6,0.5156666666666667,2,AF-Portfolio-078,commercial,security-analytics,45758.0,2027-05-13,86.0,2.0,73.0,52.5,Run renewal recovery plan and inspect stage slippage
ACC-1009,LA,306804.04000000004,0.50975,1,LA-Portfolio-010,enterprise,core-monitoring,560415.0,2026-10-26,713.0,34.0,89.98,52.1,Run renewal recovery plan and inspect stage slippage
ACC-1157,EU,62879.560000000005,0.539,2,EU-Portfolio-158,mid-market,automation-suite,181410.0,2026-08-24,189.0,7.0,80.37,51.9,Run renewal recovery plan and inspect stage slippage
ACC-1056,AP,34933.06,0.39666666666666667,2,AP-Portfolio-057,commercial,security-analytics,83122.0,2027-03-28,77.0,1.0,89.94,51.7,Run renewal recovery plan and inspect stage slippage
ACC-1206,AP,21837.12,0.42533333333333334,2,AP-Portfolio-207,commercial,security-analytics,76518.0,2027-05-12,47.0,2.0,88.23,51.5,Run renewal recovery plan and inspect stage slippage
ACC-1029,AF,19260.67,0.4876666666666667,2,AF-Portfolio-030,commercial,security-analytics,60931.0,2026-07-30,77.0,0.0,76.77,51.5,Run renewal recovery plan and inspect stage slippage
ACC-1026,AP,44987.31,0.48266666666666663,2,AP-Portfolio-027,commercial,security-analytics,86907.0,2026-12-04,82.0,1.0,79.38,51.4,Run renewal recovery plan and inspect stage slippage
ACC-1005,AF,12416.949999999999,0.49866666666666665,2,AF-Portfolio-006,commercial,security-analytics,26283.0,2027-01-08,69.0,2.0,79.99,51.1,Run renewal recovery plan and inspect stage slippage
ACC-1012,NA,459910.19999999995,0.54175,1,NA-Portfolio-013,enterprise,core-monitoring,649186.0,2026-07-23,695.0,24.0,73.55,50.6,Run renewal recovery plan and inspect stage slippage
ACC-1014,AP,14528.44,0.45,2,AP-Portfolio-015,commercial,security-analytics,32490.0,2026-06-02,69.0,1.0,87.57,50.2,Run renewal recovery plan and inspect stage slippage
ACC-1038,AP,44853.61,0.532,2,AP-Portfolio-039,commercial,security-analytics,75571.0,2027-01-31,46.0,2.0,79.24,50.0,Run renewal recovery plan and inspect stage slippage
ACC-1042,NA,169898.72,0.50575,1,NA-Portfolio-043,enterprise,core-monitoring,262392.0,2027-04-08,623.0,26.0,84.22,49.9,Run renewal recovery plan and inspect stage slippage
ACC-1006,NA,396944.55,0.58775,2,NA-Portfolio-007,enterprise,core-monitoring,632244.0,2026-05-20,648.0,11.0,88.48,49.6,Run renewal recovery plan and inspect stage slippage
ACC-1021,LA,162319.28999999998,0.53825,1,LA-Portfolio-022,enterprise,core-monitoring,329369.0,2026-11-03,689.0,26.0,80.81,49.6,Run renewal recovery plan and inspect stage slippage
ACC-1225,LA,336395.99,0.44475,1,LA-Portfolio-226,enterprise,core-monitoring,685844.0,2027-05-16,670.0,15.0,75.23,49.4,Run renewal recovery plan and inspect stage slippage
ACC-1149,AF,36375.09,0.4413333333333333,2,AF-Portfolio-150,commercial,security-analytics,69244.0,2027-05-04,66.0,2.0,94.57,49.0,Run renewal recovery plan and inspect stage slippage
ACC-1076,ME,42971.45,0.3866666666666667,1,ME-Portfolio-077,mid-market,automation-suite,94245.0,2026-08-08,219.0,10.0,76.04,48.9,Run renewal recovery plan and inspect stage slippage
ACC-1231,LA,142264.72,0.429,1,LA-Portfolio-232,enterprise,core-monitoring,197054.0,2027-03-30,398.0,15.0,79.33,48.8,Run renewal recovery plan and inspect stage slippage
ACC-1057,LA,439944.17,0.5395,1,LA-Portfolio-058,enterprise,core-monitoring,680966.0,2026-08-29,663.0,23.0,78.72,48.6,Run renewal recovery plan and inspect stage slippage
ACC-1045,LA,328282.17000000004,0.5155,2,LA-Portfolio-046,enterprise,core-monitoring,465336.0,2026-10-31,511.0,7.0,94.67,48.6,Run renewal recovery plan and inspect stage slippage
ACC-1192,NA,255914.58999999997,0.49774999999999997,1,NA-Portfolio-193,enterprise,core-monitoring,521816.0,2027-03-08,521.0,16.0,73.45,48.3,Run renewal recovery plan and inspect stage slippage
ACC-1122,AP,18905.93,0.42333333333333334,2,AP-Portfolio-123,commercial,security-analytics,46375.0,2026-09-14,48.0,0.0,95.76,48.3,Run renewal recovery plan and inspect stage slippage
ACC-1072,NA,204944.05,0.519,1,NA-Portfolio-073,enterprise,core-monitoring,325911.0,2027-04-19,437.0,18.0,74.19,48.2,Run renewal recovery plan and inspect stage slippage
ACC-1067,EU,48305.54,0.527,2,EU-Portfolio-068,mid-market,automation-suite,117276.0,2027-01-06,142.0,3.0,87.48,48.2,Run renewal recovery plan and inspect stage slippage
ACC-1085,EU,44864.520000000004,0.604,2,EU-Portfolio-086,mid-market,automation-suite,85347.0,2026-09-29,210.0,8.0,86.12,48.1,Run renewal recovery plan and inspect stage slippage
ACC-1039,LA,150953.5,0.531,1,LA-Portfolio-040,enterprise,core-monitoring,234018.0,2026-05-03,389.0,19.0,76.18,47.7,Run renewal recovery plan and inspect stage slippage
ACC-1081,LA,164712.32,0.54825,1,LA-Portfolio-082,enterprise,core-monitoring,315471.0,2027-05-22,667.0,28.0,90.66,47.3,Run renewal recovery plan and inspect stage slippage
ACC-1027,LA,187761.31,0.52,1,LA-Portfolio-028,enterprise,core-monitoring,277323.0,2026-10-31,518.0,21.0,82.73,47.2,Run renewal recovery plan and inspect stage slippage
ACC-1083,AF,31520.690000000002,0.49133333333333334,2,AF-Portfolio-084,commercial,security-analytics,74694.0,2027-03-20,68.0,0.0,91.79,46.8,Run renewal recovery plan and inspect stage slippage
ACC-1204,NA,144474.1,0.539,1,NA-Portfolio-205,enterprise,core-monitoring,271890.0,2026-09-14,453.0,22.0,83.39,46.7,Run renewal recovery plan and inspect stage slippage
ACC-1195,LA,176179.40000000002,0.50325,1,LA-Portfolio-196,enterprise,core-monitoring,383089.0,2026-08-25,636.0,21.0,86.77,46.6,Run renewal recovery plan and inspect stage slippage
ACC-1165,LA,157697.27000000002,0.60925,2,LA-Portfolio-166,enterprise,core-monitoring,302287.0,2026-06-25,522.0,7.0,89.07,46.5,Run renewal recovery plan and inspect stage slippage
ACC-1105,LA,355212.34,0.5942500000000001,1,LA-Portfolio-106,enterprise,core-monitoring,489584.0,2027-05-04,589.0,23.0,79.53,46.2,Run renewal recovery plan and inspect stage slippage
ACC-1235,EU,59337.03999999999,0.576,2,EU-Portfolio-236,mid-market,automation-suite,128631.0,2027-01-31,170.0,6.0,93.1,46.1,Run renewal recovery plan and inspect stage slippage
ACC-1188,AP,42579.09,0.5413333333333333,2,AP-Portfolio-189,commercial,security-analytics,77746.0,2027-01-22,81.0,1.0,92.37,45.1,Run renewal recovery plan and inspect stage slippage
ACC-1238,ME,46666.17,0.47300000000000003,1,ME-Portfolio-239,mid-market,automation-suite,135195.0,2026-10-07,181.0,8.0,73.89,45.0,Run renewal recovery plan and inspect stage slippage
ACC-1166,ME,39880.04,0.49033333333333334,1,ME-Portfolio-167,mid-market,automation-suite,118248.0,2026-11-29,206.0,9.0,74.15,44.8,Run renewal recovery plan and inspect stage slippage
ACC-1182,AP,43938.07,0.383,1,AP-Portfolio-183,commercial,security-analytics,86408.0,2026-11-05,77.0,2.0,78.3,44.2,Run renewal recovery plan and inspect stage slippage
ACC-1051,LA,163242.19,0.47025,0,LA-Portfolio-052,enterprise,core-monitoring,458319.0,2026-05-22,725.0,27.0,69.91,44.1,Run renewal recovery plan and inspect stage slippage
ACC-1094,ME,79876.23,0.391,1,ME-Portfolio-095,mid-market,automation-suite,136738.0,2027-05-03,177.0,7.0,87.05,43.8,Monitor account momentum and update scenario assumptions
ACC-1161,AF,26610.9,0.6156666666666667,2,AF-Portfolio-162,commercial,security-analytics,72864.0,2026-10-02,47.0,0.0,85.84,43.6,Monitor account momentum and update scenario assumptions
ACC-1107,AF,21539.83,0.36966666666666664,1,AF-Portfolio-108,commercial,security-analytics,70168.0,2027-05-25,53.0,2.0,82.3,43.6,Monitor account momentum and update scenario assumptions
ACC-1132,NA,151568.77,0.46975,1,NA-Portfolio-133,enterprise,core-monitoring,283947.0,2026-10-27,538.0,8.0,80.31,43.2,Monitor account momentum and update scenario assumptions
ACC-1162,NA,275287.08999999997,0.62025,1,NA-Portfolio-163,enterprise,core-monitoring,608088.0,2027-01-24,415.0,16.0,74.82,43.0,Monitor account momentum and update scenario assumptions
ACC-1048,NA,233454.11,0.4415,1,NA-Portfolio-049,enterprise,core-monitoring,651150.0,2026-06-01,433.0,12.0,92.24,42.8,Monitor account momentum and update scenario assumptions
ACC-1189,LA,177610.91,0.53625,1,LA-Portfolio-190,enterprise,core-monitoring,402513.0,2026-05-01,684.0,7.0,71.25,42.8,Monitor account momentum and update scenario assumptions
ACC-1228,NA,349088.98000000004,0.499,1,NA-Portfolio-229,enterprise,core-monitoring,618697.0,2027-05-13,728.0,15.0,90.66,42.6,Monitor account momentum and update scenario assumptions
ACC-1069,LA,260207.02000000002,0.527,1,LA-Portfolio-070,enterprise,core-monitoring,487301.0,2027-04-12,470.0,9.0,78.06,42.1,Monitor account momentum and update scenario assumptions
ACC-1070,ME,46752.74,0.429,1,ME-Portfolio-071,mid-market,automation-suite,80751.0,2026-06-21,211.0,4.0,82.55,42.1,Monitor account momentum and update scenario assumptions
ACC-1190,ME,44814.76,0.454,1,ME-Portfolio-191,mid-market,automation-suite,117495.0,2026-05-10,139.0,5.0,82.9,41.5,Monitor account momentum and update scenario assumptions
ACC-1096,NA,262757.63,0.58775,1,NA-Portfolio-097,enterprise,core-monitoring,466128.0,2027-02-23,434.0,18.0,87.81,41.4,Monitor account momentum and update scenario assumptions
ACC-1202,ME,79807.25,0.411,1,ME-Portfolio-203,mid-market,automation-suite,157018.0,2027-01-12,176.0,4.0,87.29,41.4,Monitor account momentum and update scenario assumptions
ACC-1119,AF,28781.300000000003,0.45399999999999996,1,AF-Portfolio-120,commercial,security-analytics,77222.0,2026-04-28,62.0,1.0,76.62,41.4,Monitor account momentum and update scenario assumptions
ACC-1054,NA,316321.74,0.643,1,NA-Portfolio-055,enterprise,core-monitoring,515176.0,2026-09-22,411.0,19.0,82.52,41.3,Monitor account momentum and update scenario assumptions
ACC-1203,AF,16757.02,0.3853333333333333,1,AF-Portfolio-204,commercial,security-analytics,56931.0,2026-10-25,80.0,2.0,88.24,41.1,Monitor account momentum and update scenario assumptions
ACC-1127,EU,36216.869999999995,0.45199999999999996,1,EU-Portfolio-128,mid-market,automation-suite,86827.0,2027-03-23,138.0,6.0,86.93,40.9,Monitor account momentum and update scenario assumptions
ACC-1089,AF,26862.91,0.48866666666666664,1,AF-Portfolio-090,commercial,security-analytics,62723.0,2027-01-01,68.0,1.0,74.11,40.7,Monitor account momentum and update scenario assumptions
ACC-1022,ME,84898.49,0.379,1,ME-Portfolio-023,mid-market,automation-suite,187784.0,2026-05-08,212.0,4.0,94.69,40.5,Monitor account momentum and update scenario assumptions
ACC-1087,LA,322992.97,0.59375,1,LA-Portfolio-088,enterprise,core-monitoring,614493.0,2026-09-29,450.0,13.0,81.75,40.4,Monitor account momentum and update scenario assumptions
ACC-1150,NA,207507.83000000002,0.5265,1,NA-Portfolio-151,enterprise,core-monitoring,366494.0,2026-11-13,721.0,12.0,89.19,40.4,Monitor account momentum and update scenario assumptions
ACC-1144,NA,156488.58000000002,0.479,0,NA-Portfolio-145,enterprise,core-monitoring,251136.0,2027-05-24,521.0,21.0,71.65,40.1,Monitor account momentum and update scenario assumptions
ACC-1034,ME,80246.97,0.5433333333333333,1,ME-Portfolio-035,mid-market,automation-suite,186573.0,2026-10-13,154.0,5.0,76.05,40.0,Monitor account momentum and update scenario assumptions
ACC-1197,AF,38141.54,0.7213333333333334,2,AF-Portfolio-198,commercial,security-analytics,56992.0,2027-01-06,88.0,2.0,87.29,40.0,Monitor account momentum and update scenario assumptions
ACC-1179,AF,13416.32,0.405,1,AF-Portfolio-180,commercial,security-analytics,41771.0,2026-12-25,47.0,1.0,88.47,39.8,Monitor account momentum and update scenario assumptions
ACC-1100,ME,62713.229999999996,0.422,1,ME-Portfolio-101,mid-market,automation-suite,238153.0,2026-09-26,142.0,1.0,86.59,39.7,Monitor account momentum and update scenario assumptions
ACC-1099,LA,153387.36,0.60075,1,LA-Portfolio-100,enterprise,core-monitoring,250883.0,2027-04-07,652.0,10.0,78.41,39.6,Monitor account momentum and update scenario assumptions
ACC-1172,ME,53044.0,0.4453333333333333,1,ME-Portfolio-173,mid-market,automation-suite,237907.0,2026-05-10,204.0,2.0,87.05,39.1,Monitor account momentum and update scenario assumptions
ACC-1152,AP,29436.89,0.4416666666666667,1,AP-Portfolio-153,commercial,security-analytics,60954.0,2026-06-01,74.0,0.0,84.06,39.1,Monitor account momentum and update scenario assumptions
ACC-1173,AF,26595.440000000002,0.47700000000000004,1,AF-Portfolio-174,commercial,security-analytics,50965.0,2027-03-14,49.0,1.0,81.27,39.1,Monitor account momentum and update scenario assumptions
ACC-1118,ME,32306.52,0.6273333333333334,1,ME-Portfolio-119,mid-market,automation-suite,82005.0,2026-04-30,154.0,7.0,71.91,38.9,Monitor account momentum and update scenario assumptions
ACC-1008,AP,18449.16,0.42133333333333334,1,AP-Portfolio-009,commercial,security-analytics,39158.0,2027-05-02,81.0,2.0,90.84,38.9,Monitor account momentum and update scenario assumptions
ACC-1036,NA,442495.08,0.60375,0,NA-Portfolio-037,enterprise,core-monitoring,612665.0,2027-03-14,698.0,27.0,70.69,38.5,Monitor account momentum and update scenario assumptions
ACC-1180,NA,413106.04000000004,0.63075,1,NA-Portfolio-181,enterprise,core-monitoring,684077.0,2027-02-28,515.0,11.0,79.64,38.5,Monitor account momentum and update scenario assumptions
ACC-1193,EU,63573.91,0.49866666666666665,1,EU-Portfolio-194,mid-market,automation-suite,128744.0,2026-05-22,204.0,5.0,87.19,38.5,Monitor account momentum and update scenario assumptions
ACC-1169,EU,138270.91,0.5246666666666667,1,EU-Portfolio-170,mid-market,automation-suite,232414.0,2027-02-04,220.0,4.0,82.75,38.2,Monitor account momentum and update scenario assumptions
ACC-1215,AF,35474.3,0.557,1,AF-Portfolio-216,commercial,security-analytics,77795.0,2026-08-14,46.0,1.0,74.77,37.8,Monitor account momentum and update scenario assumptions
ACC-1186,NA,299068.2,0.6975,1,NA-Portfolio-187,enterprise,core-monitoring,488373.0,2026-11-19,505.0,21.0,90.56,37.7,Monitor account momentum and update scenario assumptions
ACC-1013,EU,70236.14,0.6006666666666667,1,EU-Portfolio-014,mid-market,automation-suite,209876.0,2027-03-31,159.0,4.0,74.33,37.7,Monitor account momentum and update scenario assumptions
ACC-1025,EU,51493.71,0.624,1,EU-Portfolio-026,mid-market,automation-suite,128249.0,2027-05-05,244.0,11.0,83.57,37.6,Monitor account momentum and update scenario assumptions
ACC-1011,AF,38416.9,0.462,1,AF-Portfolio-012,commercial,security-analytics,72049.0,2026-12-24,48.0,1.0,89.25,37.3,Monitor account momentum and update scenario assumptions
ACC-1065,AF,20128.01,0.46399999999999997,1,AF-Portfolio-066,commercial,security-analytics,48740.0,2027-02-04,87.0,1.0,88.73,37.3,Monitor account momentum and update scenario assumptions
